RMSE,filter
{rmse_x:0.0887205   rmse_Y:0.105846  rmse_vx:0.971793  rmse_vY:0.652383  },1
{rmse_x:0.0889737   rmse_Y:0.105004  rmse_vx:0.965126  rmse_vY:0.6485  },1
{rmse_x:0.0892461   rmse_Y:0.104206  rmse_vx:0.957918  rmse_vY:0.645935  },1
{rmse_x:0.0894486   rmse_Y:0.103534  rmse_vx:0.950932  rmse_vY:0.642039  },1
{rmse_x:0.0900895   rmse_Y:0.102802  rmse_vx:0.944513  rmse_vY:0.63879  },1
{rmse_x:0.0904351   rmse_Y:0.102189  rmse_vx:0.938246  rmse_vY:0.635316  },1
{rmse_x:0.0903836   rmse_Y:0.101477  rmse_vx:0.931323  rmse_vY:0.633466  },1
{rmse_x:0.0900006   rmse_Y:0.101639  rmse_vx:0.92455  rmse_vY:0.629638  },1
{rmse_x:0.0896307   rmse_Y:0.101292  rmse_vx:0.917933  rmse_vY:0.627021  },1
{rmse_x:0.0891007   rmse_Y:0.10128  rmse_vx:0.911466  rmse_vY:0.623927  },1
{rmse_x:0.0885614   rmse_Y:0.100726  rmse_vx:0.905127  rmse_vY:0.622723  },1
{rmse_x:0.0881716   rmse_Y:0.100034  rmse_vx:0.899101  rmse_vY:0.623025  },1
{rmse_x:0.0877415   rmse_Y:0.0994138  rmse_vx:0.893057  rmse_vY:0.624826  },1
{rmse_x:0.0873693   rmse_Y:0.0987551  rmse_vx:0.887245  rmse_vY:0.624613  },1
{rmse_x:0.0870567   rmse_Y:0.0981037  rmse_vx:0.881706  rmse_vY:0.624629  },1
{rmse_x:0.0865311   rmse_Y:0.0979313  rmse_vx:0.876175  rmse_vY:0.621983  },1
{rmse_x:0.0860043   rmse_Y:0.0976133  rmse_vx:0.870685  rmse_vY:0.620065  },1
{rmse_x:0.0855046   rmse_Y:0.0970095  rmse_vx:0.865567  rmse_vY:0.619598  },1
{rmse_x:0.0851354   rmse_Y:0.0964025  rmse_vx:0.861191  rmse_vY:0.619373  },1
{rmse_x:0.0855654   rmse_Y:0.0960021  rmse_vx:0.858231  rmse_vY:0.620703  },1
{rmse_x:0.0856377   rmse_Y:0.0961646  rmse_vx:0.853859  rmse_vY:0.624663  },1
{rmse_x:0.0852758   rmse_Y:0.0955839  rmse_vx:0.849252  rmse_vY:0.623667  },1
{rmse_x:0.0850368   rmse_Y:0.0950981  rmse_vx:0.845115  rmse_vY:0.623511  },1
{rmse_x:0.0845747   rmse_Y:0.0945393  rmse_vx:0.840914  rmse_vY:0.622048  },1
